Date Time Diftime[microsec] /quatW quatX quatY quatZ /accelX accelY accelZ /gyroX gyroY gyroZ /eulerX eulerY eulerZ /heading
 11.1002 10.9266 128.662 231.338
2018-Nov-26 11:29:15.628650 2730 0.452528 0.0342813 0.0837383 0.887148 -0.0325317 0.191345 0.909668 29.2969 -30.2124 23.7427 10.3466 0.87149 125.869 234.131
2018-Nov-26 11:29:15.629013 363 0.451495 0.0359543 0.0843513 0.88755 0.00213623 0.204407 0.900391 25.6348 -26.9165 28.1372 10.4978 0.719421 126.009 233.991
2018-Nov-26 11:29:15.629793 780 0.450296 0.0375318 0.08486 0.888045 0.0301514 0.206665 0.897766 21.9116 -22.522 31.8604 10.6331 0.569244 126.171 233.829
2018-Nov-26 11:29:15.630193 400 0.448954 0.0389215 0.0852332 0.888629 0.0551147 0.197815 0.890808 17.7002 -17.0898 34.9731 10.7445 0.429108 126.352 233.648
2018-Nov-26 11:29:15.630712 519 0.447527 0.040143 0.0854274 0.889275 0.0806274 0.202637 0.901611 12.5732 -12.6953 36.6821 10.8283 0.295502 126.544 233.456
2018-Nov-26 11:29:15.631173 461 0.446075 0.0412609 0.0854054 0.889956 0.101501 0.207092 0.923035 7.08008 -10.437 37.1094 10.8842 0.16066 126.742 233.258
2018-Nov-26 11:29:15.632824 1651 0.444666 0.0423121 0.0851549 0.890635 0.119385 0.20459 0.950562 2.19727 -9.64355 35.9497 10.9127 0.0211029 126.935 233.065
2018-Nov-26 11:29:15.633252 428 0.443363 0.0432918 0.084706 0.89128 0.127502 0.191467 0.973206 -1.0376 -9.46045 33.3252 10.9167 -0.120163 127.116 232.884
2018-Nov-26 11:29:15.633760 508 0.442226 0.044279 0.0841146 0.891852 0.135315 0.182617 1.00208 -2.19727 -10.8643 29.1748 10.906 -0.267548 127.276 232.724
2018-Nov-26 11:29:15.634136 376 0.441339 0.0454657 0.0834223 0.892297 0.14032 0.18512 1.02136 -1.58691 -16.2354 23.1934 10.8948 -0.437775 127.407 232.593
2018-Nov-26 11:29:15.634432 296 0.44074 0.047058 0.082665 0.892581 0.137085 0.187744 1.03888 1.28174 -26.2451 16.5405 10.8974 -0.649933 127.503 232.497
2018-Nov-26 11:29:15.635891 1459 0.440397 0.049046 0.0819024 0.892713 0.137207 0.189087 1.03741 5.06592 -35.6445 10.6201 10.9195 -0.900345 127.57 232.43
2018-Nov-26 11:29:15.636308 417 0.440241 0.0511443 0.081295 0.892728 0.123535 0.189392 1.03595 9.33838 -38.208 5.92041 10.9633 -1.15196 127.611 232.389
2018-Nov-26 11:29:15.636542 234 0.440161 0.0531171 0.0809912 0.89268 0.0991211 0.192322 1.02722 14.1602 -35.4614 3.60107 11.0321 -1.37396 127.639 232.361
2018-Nov-26 11:29:15.636967 425 0.440053 0.054908 0.0810354 0.892621 0.0830078 0.192627 1.0047 19.165 -30.6396 3.78418 11.1275 -1.55954 127.666 232.334
2018-Nov-26 11:29:15.637216 249 0.439864 0.0563847 0.0814031 0.892588 0.0688477 0.18866 0.971802 22.522 -22.583 5.06592 11.2402 -1.69688 127.699 232.301
2018-Nov-26 11:29:15.637414 198 0.439588 0.0575067 0.0820672 0.892592 0.0529175 0.197998 0.942078 24.1699 -13.855 6.5918 11.3653 -1.78326 127.738 232.262
